class_name,accuracy,f1,precision,recall
The_Eiffel_Tower,96.36,0.9550,0.9464,0.9636
The_Mona_Lisa,100.00,0.9831,0.9667,1.0000
airplane,90.91,0.8889,0.8696,0.9091
axe,89.47,0.8947,0.8947,0.8947
backpack,100.00,0.9362,0.8800,1.0000
banana,100.00,0.9630,0.9286,1.0000
barn,83.87,0.8814,0.9286,0.8387
baseball,100.00,0.9000,0.8182,1.0000
baseball_bat,91.67,0.8462,0.7857,0.9167
basketball,100.00,1.0000,1.0000,1.0000
beard,93.15,0.9315,0.9315,0.9315
bicycle,92.86,0.9420,0.9559,0.9286
binoculars,97.50,0.9630,0.9512,0.9750
birthday_cake,96.77,0.9677,0.9677,0.9677
bowtie,96.23,0.9714,0.9808,0.9623
bucket,87.88,0.8657,0.8529,0.8788
circle,80.77,0.8571,0.9130,0.8077
crown,88.24,0.6977,0.5769,0.8824
cup,90.24,0.9024,0.9024,0.9024
door,89.19,0.8800,0.8684,0.8919
duck,97.50,0.9398,0.9070,0.9750
eye,75.36,0.8455,0.9630,0.7536
face,88.57,0.8378,0.7949,0.8857
feather,86.00,0.8600,0.8600,0.8600
firetruck,100.00,0.9739,0.9492,1.0000
fish,95.83,0.9388,0.9200,0.9583
floor_lamp,96.00,0.9412,0.9231,0.9600
flower,83.33,0.8955,0.9677,0.8333
key,91.30,0.8235,0.7500,0.9130
ladder,93.18,0.9647,1.0000,0.9318
laptop,94.87,0.9610,0.9737,0.9487
leaf,87.80,0.8471,0.8182,0.8780
light_bulb,88.46,0.9388,1.0000,0.8846
lighthouse,95.83,0.9650,0.9718,0.9583
lion,98.08,0.9623,0.9444,0.9808
marker,91.18,0.8986,0.8857,0.9118
mermaid,95.56,0.9663,0.9773,0.9556
microwave,94.12,0.9275,0.9143,0.9412
mouse,93.33,0.8485,0.7778,0.9333
palm_tree,93.94,0.8986,0.8611,0.9394
raccoon,97.06,0.9706,0.9706,0.9706
sailboat,97.62,0.9647,0.9535,0.9762
saw,66.67,0.6957,0.7273,0.6667
saxophone,100.00,1.0000,1.0000,1.0000
school_bus,95.83,0.9787,1.0000,0.9583
scissors,98.25,0.9739,0.9655,0.9825
scorpion,97.78,0.9670,0.9565,0.9778
screwdriver,97.62,0.9535,0.9318,0.9762
sheep,97.50,0.9873,1.0000,0.9750
shoe,91.53,0.9391,0.9643,0.9153
shorts,97.73,0.9885,1.0000,0.9773
shovel,84.44,0.9048,0.9744,0.8444
sink,95.65,0.9778,1.0000,0.9565
skull,100.00,1.0000,1.0000,1.0000
skyscraper,96.43,0.9643,0.9643,0.9643
snail,97.83,0.9890,1.0000,0.9783
snake,98.00,0.9608,0.9423,0.9800
soccer_ball,96.30,0.9630,0.9630,0.9630
sock,92.45,0.9333,0.9423,0.9245
speedboat,90.32,0.9106,0.9180,0.9032
spider,94.92,0.9573,0.9655,0.9492
spoon,81.13,0.8776,0.9556,0.8113
spreadsheet,100.00,0.9868,0.9740,1.0000
squirrel,95.65,0.9635,0.9706,0.9565
stairs,97.14,0.8947,0.8293,0.9714
stethoscope,96.00,0.9412,0.9231,0.9600
suitcase,86.05,0.9136,0.9737,0.8605
swan,90.91,0.9524,1.0000,0.9091
sword,91.53,0.9076,0.9000,0.9153
teapot,95.24,0.9756,1.0000,0.9524
telephone,97.92,0.9792,0.9792,0.9792
tent,94.92,0.9573,0.9655,0.9492
tiger,98.36,0.9917,1.0000,0.9836
toaster,94.44,0.9444,0.9444,0.9444
tree,87.04,0.8868,0.9038,0.8704
triangle,81.58,0.8378,0.8611,0.8158
trumpet,100.00,1.0000,1.0000,1.0000
umbrella,97.22,0.9459,0.9211,0.9722
wine_bottle,95.12,0.9630,0.9750,0.9512
wine_glass,91.18,0.9254,0.9394,0.9118
yoga,100.00,0.9487,0.9024,1.0000
