class_name,accuracy,f1,precision,recall
The_Eiffel_Tower,71.43,0.8000,0.9091,0.7143
The_Mona_Lisa,85.71,0.4068,0.2667,0.8571
airplane,36.36,0.5106,0.8571,0.3636
axe,54.55,0.6154,0.7059,0.5455
backpack,77.27,0.6667,0.5862,0.7727
banana,50.00,0.5263,0.5556,0.5000
barn,100.00,0.9524,0.9091,1.0000
baseball,40.00,0.3333,0.2857,0.4000
baseball_bat,35.00,0.4516,0.6364,0.3500
basketball,6.25,0.1176,1.0000,0.0625
beard,37.50,0.5294,0.9000,0.3750
bicycle,97.06,0.7674,0.6346,0.9706
binoculars,66.67,0.7826,0.9474,0.6667
birthday_cake,65.22,0.6977,0.7500,0.6522
bowtie,60.61,0.6897,0.8000,0.6061
bucket,68.75,0.5238,0.4231,0.6875
circle,55.00,0.3860,0.2973,0.5500
crown,77.78,0.5714,0.4516,0.7778
cup,60.00,0.6400,0.6857,0.6000
door,52.78,0.6441,0.8261,0.5278
duck,64.29,0.6316,0.6207,0.6429
eye,81.63,0.8333,0.8511,0.8163
face,64.44,0.5321,0.4531,0.6444
feather,97.06,0.4099,0.2598,0.9706
firetruck,60.61,0.4762,0.3922,0.6061
fish,62.16,0.6970,0.7931,0.6216
floor_lamp,35.71,0.4000,0.4545,0.3571
flower,8.82,0.1500,0.5000,0.0882
key,71.43,0.4255,0.3030,0.7143
ladder,66.67,0.4211,0.3077,0.6667
laptop,65.62,0.7500,0.8750,0.6562
leaf,60.53,0.4510,0.3594,0.6053
light_bulb,85.00,0.7556,0.6800,0.8500
lighthouse,78.95,0.7895,0.7895,0.7895
lion,69.70,0.7302,0.7667,0.6970
marker,91.67,0.5570,0.4000,0.9167
mermaid,95.65,0.1497,0.0812,0.9565
microwave,52.94,0.6667,0.9000,0.5294
mouse,53.85,0.3182,0.2258,0.5385
palm_tree,64.71,0.6471,0.6471,0.6471
raccoon,65.71,0.7077,0.7667,0.6571
sailboat,61.11,0.7333,0.9167,0.6111
saw,27.27,0.3000,0.3333,0.2727
saxophone,67.74,0.8077,1.0000,0.6774
school_bus,32.50,0.4815,0.9286,0.3250
scissors,29.55,0.4127,0.6842,0.2955
scorpion,35.56,0.5246,1.0000,0.3556
screwdriver,51.35,0.5846,0.6786,0.5135
sheep,61.70,0.7532,0.9667,0.6170
shoe,51.56,0.6600,0.9167,0.5156
shorts,41.51,0.5714,0.9167,0.4151
shovel,19.05,0.3077,0.8000,0.1905
sink,32.61,0.4918,1.0000,0.3261
skull,81.67,0.7538,0.7000,0.8167
skyscraper,46.81,0.6286,0.9565,0.4681
snail,22.50,0.3529,0.8182,0.2250
snake,31.91,0.4762,0.9375,0.3191
soccer_ball,63.16,0.7619,0.9600,0.6316
sock,48.89,0.6111,0.8148,0.4889
speedboat,48.98,0.6316,0.8889,0.4898
spider,41.54,0.4426,0.4737,0.4154
spoon,53.66,0.5946,0.6667,0.5366
spreadsheet,63.24,0.6667,0.7049,0.6324
squirrel,38.46,0.5357,0.8824,0.3846
stairs,46.15,0.5581,0.7059,0.4615
stethoscope,75.00,0.5714,0.4615,0.7500
suitcase,35.48,0.5000,0.8462,0.3548
swan,33.33,0.4848,0.8889,0.3333
sword,42.11,0.4706,0.5333,0.4211
teapot,84.85,0.8615,0.8750,0.8485
telephone,64.00,0.7442,0.8889,0.6400
tent,20.59,0.3256,0.7778,0.2059
tiger,89.74,0.8642,0.8333,0.8974
toaster,59.26,0.5614,0.5333,0.5926
tree,61.82,0.7234,0.8718,0.6182
triangle,70.00,0.2763,0.1721,0.7000
trumpet,84.21,0.5517,0.4103,0.8421
umbrella,83.33,0.8333,0.8333,0.8333
wine_bottle,74.07,0.6897,0.6452,0.7407
wine_glass,75.00,0.7200,0.6923,0.7500
yoga,12.00,0.1765,0.3333,0.1200
