class_name,accuracy,f1,precision,recall
The_Eiffel_Tower,85.45,0.9038,0.9592,0.8545
The_Mona_Lisa,79.31,0.8679,0.9583,0.7931
airplane,86.36,0.8837,0.9048,0.8636
axe,73.68,0.8235,0.9333,0.7368
backpack,95.45,0.9333,0.9130,0.9545
banana,88.46,0.8679,0.8519,0.8846
barn,87.10,0.8852,0.9000,0.8710
baseball,77.78,0.7368,0.7000,0.7778
baseball_bat,100.00,0.6000,0.4286,1.0000
basketball,70.83,0.8293,1.0000,0.7083
beard,90.41,0.8980,0.8919,0.9041
bicycle,84.29,0.9008,0.9672,0.8429
binoculars,90.00,0.9231,0.9474,0.9000
birthday_cake,80.65,0.7576,0.7143,0.8065
bowtie,88.68,0.9216,0.9592,0.8868
bucket,54.55,0.5714,0.6000,0.5455
circle,65.38,0.7234,0.8095,0.6538
crown,88.24,0.9091,0.9375,0.8824
cup,82.93,0.7640,0.7083,0.8293
door,75.68,0.8358,0.9333,0.7568
duck,75.00,0.8451,0.9677,0.7500
eye,69.57,0.7934,0.9231,0.6957
face,62.86,0.7154,0.8302,0.6286
feather,68.00,0.7907,0.9444,0.6800
firetruck,91.07,0.9189,0.9273,0.9107
fish,83.33,0.8696,0.9091,0.8333
floor_lamp,92.00,0.7797,0.6765,0.9200
flower,41.67,0.5769,0.9375,0.4167
key,47.83,0.6286,0.9167,0.4783
ladder,84.09,0.9024,0.9737,0.8409
laptop,79.49,0.8493,0.9118,0.7949
leaf,78.05,0.7711,0.7619,0.7805
light_bulb,76.92,0.8333,0.9091,0.7692
lighthouse,90.28,0.9353,0.9701,0.9028
lion,78.85,0.8817,1.0000,0.7885
marker,85.29,0.6517,0.5273,0.8529
mermaid,42.22,0.5938,1.0000,0.4222
microwave,79.41,0.7297,0.6750,0.7941
mouse,73.33,0.7857,0.8462,0.7333
palm_tree,27.27,0.3529,0.5000,0.2727
raccoon,95.59,0.9774,1.0000,0.9559
sailboat,83.33,0.8974,0.9722,0.8333
saw,75.00,0.6923,0.6429,0.7500
saxophone,97.92,0.9792,0.9792,0.9792
school_bus,100.00,0.9600,0.9231,1.0000
scissors,92.98,0.6625,0.5146,0.9298
scorpion,95.56,0.9247,0.8958,0.9556
screwdriver,73.81,0.6458,0.5741,0.7381
sheep,96.25,0.9565,0.9506,0.9625
shoe,89.83,0.8689,0.8413,0.8983
shorts,97.73,0.7890,0.6615,0.9773
shovel,84.44,0.7238,0.6333,0.8444
sink,91.30,0.6269,0.4773,0.9130
skull,96.97,0.9275,0.8889,0.9697
skyscraper,92.86,0.8000,0.7027,0.9286
snail,100.00,0.9388,0.8846,1.0000
snake,96.00,0.8972,0.8421,0.9600
soccer_ball,92.59,0.8621,0.8065,0.9259
sock,90.57,0.7742,0.6761,0.9057
speedboat,93.55,0.8593,0.7945,0.9355
spider,93.22,0.9091,0.8871,0.9322
spoon,71.70,0.7451,0.7755,0.7170
spreadsheet,100.00,0.8242,0.7009,1.0000
squirrel,92.75,0.9209,0.9143,0.9275
stairs,85.71,0.6818,0.5660,0.8571
stethoscope,94.00,0.9126,0.8868,0.9400
suitcase,55.81,0.7164,1.0000,0.5581
swan,93.94,0.9118,0.8857,0.9394
sword,72.88,0.7890,0.8600,0.7288
teapot,85.71,0.9231,1.0000,0.8571
telephone,79.17,0.8539,0.9268,0.7917
tent,81.36,0.8649,0.9231,0.8136
tiger,98.36,0.9449,0.9091,0.9836
toaster,70.37,0.8261,1.0000,0.7037
tree,75.93,0.6260,0.5325,0.7593
triangle,71.05,0.8060,0.9310,0.7105
trumpet,97.44,0.9744,0.9744,0.9744
umbrella,86.11,0.9254,1.0000,0.8611
wine_bottle,70.73,0.8056,0.9355,0.7073
wine_glass,85.29,0.8788,0.9062,0.8529
yoga,64.86,0.7619,0.9231,0.6486
