class_name,accuracy,f1,precision,recall
The_Eiffel_Tower,92.86,0.9630,1.0000,0.9286
The_Mona_Lisa,85.71,0.7500,0.6667,0.8571
airplane,90.91,0.8955,0.8824,0.9091
axe,95.45,0.8400,0.7500,0.9545
backpack,90.91,0.8889,0.8696,0.9091
banana,100.00,0.9524,0.9091,1.0000
barn,100.00,0.9302,0.8696,1.0000
baseball,100.00,0.8333,0.7143,1.0000
baseball_bat,90.00,0.8372,0.7826,0.9000
basketball,87.50,0.8750,0.8750,0.8750
beard,85.42,0.8367,0.8200,0.8542
bicycle,100.00,1.0000,1.0000,1.0000
binoculars,85.19,0.8519,0.8519,0.8519
birthday_cake,95.65,0.9362,0.9167,0.9565
bowtie,75.76,0.8065,0.8621,0.7576
bucket,75.00,0.5455,0.4286,0.7500
circle,65.00,0.5778,0.5200,0.6500
crown,83.33,0.8571,0.8824,0.8333
cup,80.00,0.8101,0.8205,0.8000
door,72.22,0.8254,0.9630,0.7222
duck,85.71,0.8136,0.7742,0.8571
eye,93.88,0.9293,0.9200,0.9388
face,71.11,0.7191,0.7273,0.7111
feather,91.18,0.8857,0.8611,0.9118
firetruck,57.58,0.6230,0.6786,0.5758
fish,89.19,0.9041,0.9167,0.8919
floor_lamp,85.71,0.7619,0.6857,0.8571
flower,76.47,0.7536,0.7429,0.7647
key,78.57,0.8148,0.8462,0.7857
ladder,66.67,0.6809,0.6957,0.6667
laptop,93.75,0.8955,0.8571,0.9375
leaf,76.32,0.7733,0.7838,0.7632
light_bulb,95.00,0.9048,0.8636,0.9500
lighthouse,92.11,0.9333,0.9459,0.9211
lion,87.88,0.8788,0.8788,0.8788
marker,100.00,0.8276,0.7059,1.0000
mermaid,91.30,0.8936,0.8750,0.9130
microwave,88.24,0.8333,0.7895,0.8824
mouse,84.62,0.7586,0.6875,0.8462
palm_tree,64.71,0.5500,0.4783,0.6471
raccoon,91.43,0.9143,0.9143,0.9143
sailboat,97.22,0.9589,0.9459,0.9722
saw,63.64,0.6667,0.7000,0.6364
saxophone,80.65,0.8772,0.9615,0.8065
school_bus,85.00,0.8095,0.7727,0.8500
scissors,65.91,0.6744,0.6905,0.6591
scorpion,55.56,0.6944,0.9259,0.5556
screwdriver,78.38,0.7632,0.7436,0.7838
sheep,85.11,0.8602,0.8696,0.8511
shoe,87.50,0.9256,0.9825,0.8750
shorts,77.36,0.7523,0.7321,0.7736
shovel,44.44,0.5437,0.7000,0.4444
sink,65.22,0.7229,0.8108,0.6522
skull,86.67,0.8667,0.8667,0.8667
skyscraper,76.60,0.8090,0.8571,0.7660
snail,80.00,0.8312,0.8649,0.8000
snake,89.36,0.7179,0.6000,0.8936
soccer_ball,81.58,0.8732,0.9394,0.8158
sock,64.44,0.6988,0.7632,0.6444
speedboat,83.67,0.8542,0.8723,0.8367
spider,76.92,0.7752,0.7812,0.7692
spoon,70.73,0.7532,0.8056,0.7073
spreadsheet,72.06,0.7153,0.7101,0.7206
squirrel,76.92,0.8108,0.8571,0.7692
stairs,82.69,0.7049,0.6143,0.8269
stethoscope,87.50,0.8077,0.7500,0.8750
suitcase,77.42,0.8000,0.8276,0.7742
swan,70.83,0.7727,0.8500,0.7083
sword,55.26,0.5676,0.5833,0.5526
teapot,87.88,0.8406,0.8056,0.8788
telephone,88.00,0.8980,0.9167,0.8800
tent,70.59,0.8276,1.0000,0.7059
tiger,94.87,0.9250,0.9024,0.9487
toaster,92.59,0.8772,0.8333,0.9259
tree,80.00,0.7788,0.7586,0.8000
triangle,60.00,0.6667,0.7500,0.6000
trumpet,78.95,0.8571,0.9375,0.7895
umbrella,83.33,0.8772,0.9259,0.8333
wine_bottle,92.59,0.9091,0.8929,0.9259
wine_glass,87.50,0.8400,0.8077,0.8750
yoga,84.00,0.8077,0.7778,0.8400
