method,class_name,cosine_similarity
gradcam,The_Eiffel_Tower,0.9335
gradcam,The_Mona_Lisa,0.9406
gradcam,airplane,0.9838
gradcam,axe,0.7848
gradcam,backpack,0.9809
gradcam,banana,0.9623
gradcam,barn,0.9765
gradcam,baseball,0.8420
gradcam,baseball_bat,0.9166
gradcam,basketball,0.9699
gradcam,beard,0.9631
gradcam,bicycle,0.9678
gradcam,binoculars,0.9386
gradcam,birthday_cake,0.9135
gradcam,bowtie,0.9672
gradcam,bucket,0.9594
gradcam,circle,0.9638
gradcam,crown,0.9717
gradcam,cup,0.9773
gradcam,door,0.9850
gradcam,duck,0.9647
gradcam,eye,0.9692
gradcam,face,0.9579
gradcam,feather,0.9874
gradcam,firetruck,0.9700
gradcam,fish,0.9720
gradcam,floor_lamp,0.8896
gradcam,flower,0.9829
gradcam,key,0.9828
gradcam,ladder,0.9868
gradcam,laptop,0.9598
gradcam,leaf,0.9429
gradcam,light_bulb,0.9221
gradcam,lighthouse,0.9705
gradcam,lion,0.9415
gradcam,marker,0.9862
gradcam,mermaid,0.9932
gradcam,microwave,0.9527
gradcam,mouse,0.9164
gradcam,palm_tree,0.9846
gradcam,raccoon,0.9889
gradcam,sailboat,0.9916
gradcam,saw,0.9742
gradcam,saxophone,0.9562
gradcam,school_bus,0.8683
gradcam,scissors,0.9295
gradcam,scorpion,0.9752
gradcam,screwdriver,0.9207
gradcam,sheep,0.9593
gradcam,shoe,0.9613
gradcam,shorts,0.9475
gradcam,shovel,0.8784
gradcam,sink,0.9707
gradcam,skull,0.9791
gradcam,skyscraper,0.9323
gradcam,snail,0.9670
gradcam,snake,0.9265
gradcam,soccer_ball,0.9715
gradcam,sock,0.9917
gradcam,speedboat,0.9082
gradcam,spider,0.9596
gradcam,spoon,0.9561
gradcam,spreadsheet,0.9497
gradcam,squirrel,0.9527
gradcam,stairs,0.9491
gradcam,stethoscope,0.9630
gradcam,suitcase,0.9634
gradcam,swan,0.9494
gradcam,sword,0.8979
gradcam,teapot,0.9564
gradcam,telephone,0.9748
gradcam,tent,0.9027
gradcam,tiger,0.9701
gradcam,toaster,0.9655
gradcam,tree,0.9651
gradcam,triangle,0.9854
gradcam,trumpet,0.9359
gradcam,umbrella,0.9539
gradcam,wine_bottle,0.9692
gradcam,wine_glass,0.9829
gradcam,yoga,0.9245
gradcam_pp,The_Eiffel_Tower,0.9456
gradcam_pp,The_Mona_Lisa,0.9475
gradcam_pp,airplane,0.9910
gradcam_pp,axe,0.8601
gradcam_pp,backpack,0.9754
gradcam_pp,banana,0.9890
gradcam_pp,barn,0.9848
gradcam_pp,baseball,0.9281
gradcam_pp,baseball_bat,0.9463
gradcam_pp,basketball,0.9616
gradcam_pp,beard,0.9771
gradcam_pp,bicycle,0.9766
gradcam_pp,binoculars,0.9670
gradcam_pp,birthday_cake,0.9318
gradcam_pp,bowtie,0.9898
gradcam_pp,bucket,0.9773
gradcam_pp,circle,0.9716
gradcam_pp,crown,0.9807
gradcam_pp,cup,0.9806
gradcam_pp,door,0.9938
gradcam_pp,duck,0.9662
gradcam_pp,eye,0.9850
gradcam_pp,face,0.9658
gradcam_pp,feather,0.9905
gradcam_pp,firetruck,0.9763
gradcam_pp,fish,0.9627
gradcam_pp,floor_lamp,0.8557
gradcam_pp,flower,0.9837
gradcam_pp,key,0.9818
gradcam_pp,ladder,0.9637
gradcam_pp,laptop,0.9583
gradcam_pp,leaf,0.9687
gradcam_pp,light_bulb,0.9150
gradcam_pp,lighthouse,0.9767
gradcam_pp,lion,0.9553
gradcam_pp,marker,0.9915
gradcam_pp,mermaid,0.9946
gradcam_pp,microwave,0.9741
gradcam_pp,mouse,0.9261
gradcam_pp,palm_tree,0.9877
gradcam_pp,raccoon,0.9824
gradcam_pp,sailboat,0.9960
gradcam_pp,saw,0.9634
gradcam_pp,saxophone,0.9714
gradcam_pp,school_bus,0.8946
gradcam_pp,scissors,0.9567
gradcam_pp,scorpion,0.9663
gradcam_pp,screwdriver,0.9488
gradcam_pp,sheep,0.9763
gradcam_pp,shoe,0.9738
gradcam_pp,shorts,0.9552
gradcam_pp,shovel,0.9021
gradcam_pp,sink,0.9845
gradcam_pp,skull,0.9884
gradcam_pp,skyscraper,0.9185
gradcam_pp,snail,0.9503
gradcam_pp,snake,0.9263
gradcam_pp,soccer_ball,0.9794
gradcam_pp,sock,0.9844
